Consentimento,Sede,Cargo,XP,Colaboradores,Dominio,Agil,Em quais cerimônias típicas de métodos ágeis você aplica gerência de riscos e/ou métricas? [Reunião de planejamento da sprint],Em quais cerimônias típicas de métodos ágeis você aplica gerência de riscos e/ou métricas? [Reunião de revisão da sprint],Em quais cerimônias típicas de métodos ágeis você aplica gerência de riscos e/ou métricas? [Reunião semanal],Em quais cerimônias típicas de métodos ágeis você aplica gerência de riscos e/ou métricas? [Reunião diária],Em quais cerimônias típicas de métodos ágeis você aplica gerência de riscos e/ou métricas?,Em quais cerimônias típicas de métodos ágeis você aplica gerência de riscos e/ou métricas? [Nenhuma das respostas acima],Você utiliza gestão de riscos no(s) time(s) ou na sua organização mesmo que informalmente?,Você considera as práticas existentes em métodos ágeis suficientes para o gerenciamento de riscos?,Quais processos de gerenciamento de riscos você normalmente realiza? [Planejamento da gestão de riscos],Quais processos de gerenciamento de riscos você normalmente realiza? [Identificação dos riscos],Quais processos de gerenciamento de riscos você normalmente realiza? [Análise qualitativa dos riscos],Quais processos de gerenciamento de riscos você normalmente realiza? [Análise quantitativa dos riscos],Quais processos de gerenciamento de riscos você normalmente realiza? [Priorização dos riscos],Quais processos de gerenciamento de riscos você normalmente realiza? [Planejamento de resposta aos riscos],Quais processos de gerenciamento de riscos você normalmente realiza? [Monitoramento e Controle dos riscos],Você utiliza métricas para acompanhamento das metas e objetivos do(s) time(s) ou da organização?,Em quais dos itens abaixo você aplica métricas para o gerenciamento?,Existe algum método ou processo estabelecido para definição ou seleção das métricas a serem utilizadas?
Sim,Sudeste,Team leader,12,10000,E-commerce,Scrum; Kanban; Lean,Gerenciamento de riscos; Métricas,Métricas,,,Gerenciamento de riscos; Métricas,,Sim,Sim,Parcial,Implementa completamente,Parcial,Parcial,Implementa completamente,Parcial,Parcial,Sim,Cronograma e progresso; Pessoas; Tecnologia; Cliente,Não
Sim,Sudeste,Technical leader,4,10000,Financeiro; E-commerce,Scrum; Lean,Gerenciamento de riscos; Métricas,Gerenciamento de riscos; Métricas,Gerenciamento de riscos; Métricas,Gerenciamento de riscos,Gerenciamento de riscos; Métricas,Gerenciamento de riscos; Métricas,Sim,Sim,Implementa completamente,Implementa completamente,Parcial,Parcial,Parcial,Parcial,Implementa completamente,Sim,Cronograma e progresso; Produto; Processo; Tecnologia,Não
Sim,Sudeste,Team leader,13,6,E-commerce,ScrumBan,Gerenciamento de riscos,Gerenciamento de riscos,Métricas,Gerenciamento de riscos,Métricas,,Sim,Sim,Não implementa,Parcial,Não implementa,Não implementa,Parcial,Parcial,Não implementa,Sim,Cronograma e progresso; Pessoas; Processo; Tecnologia; Cliente,Não
Sim,Sudeste,Team leader,15,10000,E-commerce,Scrum; ScrumBan; XP; Kanban; Lean,Gerenciamento de riscos; Métricas,Gerenciamento de riscos,Gerenciamento de riscos,Gerenciamento de riscos; Métricas,Gerenciamento de riscos,Métricas,Sim,Sim,Parcial,Parcial,Parcial,Parcial,Implementa completamente,Implementa completamente,Implementa completamente,Sim,Cronograma e progresso; Pessoas; Produto; Processo; Tecnologia; Cliente,Sim
Sim,Sudeste,Product manager,15,10,E-commerce,Scrum; Kanban,Gerenciamento de riscos,,Gerenciamento de riscos; Métricas,,Gerenciamento de riscos; Métricas,,Sim,Não,Parcial,Implementa completamente,Implementa completamente,Implementa completamente,Implementa completamente,Implementa completamente,Implementa completamente,Sim,Cronograma e progresso; Pessoas; Produto,Não
Sim,Sudeste,Team leader,14,10000,Financeiro; E-commerce,Scrum; Kanban,Gerenciamento de riscos,Métricas,Gerenciamento de riscos,Gerenciamento de riscos,Métricas,Métricas,Sim,Sim,Parcial,Parcial,Não implementa,Não implementa,Não implementa,Parcial,Parcial,Sim,Pessoas; Produto,Não
Sim,Norte,digital analytics,15,10000,E-commerce,Scrum,Gerenciamento de riscos,Métricas,Métricas,Gerenciamento de riscos; Métricas,Gerenciamento de riscos; Métricas,,Não,,,,,,,,,Sim,Produto; Tecnologia,Sim
Sim,Sudeste,Product manager,10,90000,Financeiro,Scrum; ScrumBan; Kanban; Lean,Gerenciamento de riscos; Métricas,Métricas,Gerenciamento de riscos; Métricas,Gerenciamento de riscos,Gerenciamento de riscos; Métricas,,Sim,Não,Não implementa,Parcial,Não implementa,Não implementa,Implementa completamente,Não implementa,Parcial,Sim,Produto; Cliente,Sim
Sim,Sudeste,Team leader,6,3000,Setor Imobiliário,ScrumBan,Gerenciamento de riscos,,Gerenciamento de riscos; Métricas,,,,Sim,Sim,Implementa completamente,Implementa completamente,Não implementa,Parcial,Implementa completamente,Parcial,Implementa completamente,Sim,Cronograma e progresso,Não
Sim,Centro-oeste,Gerente de projetos,21,1000,Financeiro,Scrum; Kanban,Gerenciamento de riscos; Métricas,Gerenciamento de riscos; Métricas,Gerenciamento de riscos; Métricas,,Gerenciamento de riscos; Métricas,,Sim,Sim,Implementa completamente,Implementa completamente,Implementa completamente,Parcial,Implementa completamente,Implementa completamente,Implementa completamente,Sim,Cronograma e progresso; Pessoas; Produto; Tecnologia,Não
