Consentimento,Sede,Cargo,XP,Colaboradores,Dominio,Agil,Em quais cerimônias típicas de métodos ágeis você aplica gerência de riscos e/ou métricas? [Reunião de planejamento da sprint],Em quais cerimônias típicas de métodos ágeis você aplica gerência de riscos e/ou métricas? [Reunião de revisão da sprint],Em quais cerimônias típicas de métodos ágeis você aplica gerência de riscos e/ou métricas? [Reunião semanal],Em quais cerimônias típicas de métodos ágeis você aplica gerência de riscos e/ou métricas? [Reunião diária],Em quais cerimônias típicas de métodos ágeis você aplica gerência de riscos e/ou métricas?,Em quais cerimônias típicas de métodos ágeis você aplica gerência de riscos e/ou métricas? [Nenhuma das respostas acima],Você utiliza gestão de riscos no(s) time(s) ou na sua organização mesmo que informalmente?,Você considera as práticas existentes em métodos ágeis suficientes para o gerenciamento de riscos?,Quais processos de gerenciamento de riscos você normalmente realiza? [Planejamento da gestão de riscos],Quais processos de gerenciamento de riscos você normalmente realiza? [Identificação dos riscos],Quais processos de gerenciamento de riscos você normalmente realiza? [Análise qualitativa dos riscos],Quais processos de gerenciamento de riscos você normalmente realiza? [Análise quantitativa dos riscos],Quais processos de gerenciamento de riscos você normalmente realiza? [Priorização dos riscos],Quais processos de gerenciamento de riscos você normalmente realiza? [Planejamento de resposta aos riscos],Quais processos de gerenciamento de riscos você normalmente realiza? [Monitoramento e Controle dos riscos],Além das práticas típicas dos métodos ágeis você utiliza alguma prática adicional para gerenciar os riscos? Se sim quais?,Você utiliza métricas para acompanhamento das metas e objetivos do(s) time(s) ou da organização?,Em quais dos itens abaixo você aplica métricas para o gerenciamento?,Quais as 5 principais métricas que você utiliza em seu(s) time(s) e/ou organização?,Existe algum método ou processo estabelecido para definição ou seleção das métricas a serem utilizadas?,Se sim como é esse processo?
Sim,Sudeste,Team leader,12,10000,E-commerce,Scrum; Kanban; Lean,Gerenciamento de riscos; Métricas,Métricas,,,Gerenciamento de riscos; Métricas,,Sim,Sim,Parcial,Implementa completamente,Parcial,Parcial,Implementa completamente,Parcial,Parcial,Não,Sim,Cronograma e progresso; Pessoas; Tecnologia; Cliente,Metas(Smart);Clima;Cultura Organizacional; turnover; ,Não,
Sim,Sudeste,Technical leader,4,10000,Financeiro; E-commerce,Scrum; Lean,Gerenciamento de riscos; Métricas,Gerenciamento de riscos; Métricas,Gerenciamento de riscos; Métricas,Gerenciamento de riscos,Gerenciamento de riscos; Métricas,Gerenciamento de riscos; Métricas,Sim,Sim,Implementa completamente,Implementa completamente,Parcial,Parcial,Parcial,Parcial,Implementa completamente,,Sim,Cronograma e progresso; Produto; Processo; Tecnologia,Lead time; apdex;  error rate; rollback rate; time to recover,Não,
Sim,Sudeste,Team leader,13,6,E-commerce,ScrumBan,Gerenciamento de riscos,Gerenciamento de riscos,Métricas,Gerenciamento de riscos,Métricas,,Sim,Sim,Não implementa,Parcial,Não implementa,Não implementa,Parcial,Parcial,Não implementa,,Sim,Cronograma e progresso; Pessoas; Processo; Tecnologia; Cliente,Lead Time(Processo); Cicle Time (Processo); Burn Down/Up (cronograma e progresso); Engajamento do time (Pessoas); NPS(Net Promoter Score - Cliente); Uptime/Downtime (Tecnologia),Não,
Sim,Sudeste,Team leader,15,10000,E-commerce,Scrum; ScrumBan; XP; Kanban; Lean,Gerenciamento de riscos; Métricas,Gerenciamento de riscos,Gerenciamento de riscos,Gerenciamento de riscos; Métricas,Gerenciamento de riscos,Métricas,Sim,Sim,Parcial,Parcial,Parcial,Parcial,Implementa completamente,Implementa completamente,Implementa completamente,,Sim,Cronograma e progresso; Pessoas; Produto; Processo; Tecnologia; Cliente,NPS; várias de SRE; contact rate; gasto; scorings de risco; eficiência operacional; etc.,Sim,Depende da frente de trabalho
Sim,Sudeste,Product manager,15,10,E-commerce,Scrum; Kanban,Gerenciamento de riscos,,Gerenciamento de riscos; Métricas,,Gerenciamento de riscos; Métricas,,Sim,Não,Parcial,Implementa completamente,Implementa completamente,Implementa completamente,Implementa completamente,Implementa completamente,Implementa completamente,,Sim,Cronograma e progresso; Pessoas; Produto,São varias; mas o nosso guia é baseado no NPS e no SLA,Não,
Sim,Sudeste,Team leader,14,10000,Financeiro; E-commerce,Scrum; Kanban,Gerenciamento de riscos,Métricas,Gerenciamento de riscos,Gerenciamento de riscos,Métricas,Métricas,Sim,Sim,Parcial,Parcial,Não implementa,Não implementa,Não implementa,Parcial,Parcial,Nao,Sim,Pessoas; Produto,Velocidad; capacidad; tiempos de implementación; desvíos; presupuestario,Não,
Sim,Norte,digital analytics,15,10000,E-commerce,Scrum,Gerenciamento de riscos,Métricas,Métricas,Gerenciamento de riscos; Métricas,Gerenciamento de riscos; Métricas,,Não,,,,,,,,,,Sim,Produto; Tecnologia,conversion; micro conversion; sesiones; usuarios,Sim,plan de medicion
Sim,Sudeste,Product manager,10,90000,Financeiro,Scrum; ScrumBan; Kanban; Lean,Gerenciamento de riscos; Métricas,Métricas,Gerenciamento de riscos; Métricas,Gerenciamento de riscos,Gerenciamento de riscos; Métricas,,Sim,Não,Não implementa,Parcial,Não implementa,Não implementa,Implementa completamente,Não implementa,Parcial,,Sim,Produto; Cliente,Okrs; NPS; Funil; Leadtime; cycletime,Sim,OKRs
Sim,Sudeste,Team leader,6,3000,Setor Imobiliário,ScrumBan,Gerenciamento de riscos,,Gerenciamento de riscos; Métricas,,,,Sim,Sim,Implementa completamente,Implementa completamente,Não implementa,Parcial,Implementa completamente,Parcial,Implementa completamente,,Sim,Cronograma e progresso,Cycle Time; MTTR; Deployment Rate; WIP; Deliverable Estimate,Não,
Sim,Centro-oeste,Gerente de projetos,21,1000,Financeiro,Scrum; Kanban,Gerenciamento de riscos; Métricas,Gerenciamento de riscos; Métricas,Gerenciamento de riscos; Métricas,,Gerenciamento de riscos; Métricas,,Sim,Sim,Implementa completamente,Implementa completamente,Implementa completamente,Parcial,Implementa completamente,Implementa completamente,Implementa completamente,Pmbok,Sim,Cronograma e progresso; Pessoas; Produto; Tecnologia,Estimativa de pontos; Estimativa análoga e Estimativa por similaridade,Não,
